,time21_5,latitude,longitude,halfAngle,speed,type,isMostAccurate,associatedCMEID,associatedCMEstartTime,note,associatedCMELink,catalog,featureCode,dataLevel,measurementTechnique,imageType,tilt,minorHalfWidth,speedMeasuredAtHeight,submissionTime,versionId,link
0,2024-07-21T05:02Z,-18.0,-130.0,27.0,621.0,C,True,2024-07-20T23:24:00-CME-001,2024-07-20T23:24Z,"Triangulated measurement of this CME between SOHO LASCO C2/C3 and STEREO COR2A given the uncertain source longitude, finding a good far-sided fit (and a poor on-disk fit) around E120-E140.",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32077/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,15.5,2024-07-21T16:07Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32078/-1
1,2024-07-21T10:41Z,15.0,75.0,26.0,598.0,C,True,2024-07-21T04:24:00-CME-001,2024-07-21T04:24Z,"Well triangulated measurement between SOHO LASCO C3 and STEREO COR2A using the source of AR 3744, finding a great fit at these coordinates. This measurement excludes C2 and some earliest C3 and COR2A frames to provide a more accurate final speed, as some acceleration was observed in the measurement with every frame.",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32079/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,20.5,2024-07-21T16:58Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32080/-1
2,2024-07-21T16:36Z,9.0,76.0,22.0,592.0,C,True,2024-07-21T11:00:00-CME-001,2024-07-21T11:00Z,Parameters based on best fit in SOHO LASCO C3 and STEREO A COR2 imagery.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32089/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,12.7,2024-07-22T01:01Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32097/-1
3,2024-07-21T19:47Z,18.0,88.0,15.0,469.0,S,True,2024-07-21T12:12:00-CME-001,2024-07-21T12:12Z,"Triangulated measurement between SOHO LASCO C2/C3 and STEREO COR2A, given the visible EUV source but unclear specific longitude. Despite only having a few available COR2A frames, this was enough to get a good fit around W85-W95, settling on W88 as the best fit.",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32087/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,14.0,2024-07-21T19:58Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32088/-1
4,2024-07-21T21:39Z,42.0,-20.0,46.0,719.0,C,True,2024-07-21T16:48:00-CME-001,2024-07-21T16:48Z,These parameters are based off of the best fit of the suspected BULK of the CME visible to the NE in SOHO LASCO difference imagery. No STEREO A COR2 imagery is available for this CME.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32090/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,13.5,2024-07-21T22:50Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32091/-1
5,2024-07-21T19:30Z,8.0,-5.0,43.0,1224.0,O,True,2024-07-21T16:48:00-CME-001,2024-07-21T16:48Z,Parameters based on the potential SHOCK feature using SOHO LASCO C2 and C3 difference imagery. There is uncertainty with this analysis due to lack of stereoscopic viewpoints.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32090/-1,M2M_CATALOG,SH,0,SWPC_CAT,running difference,,,16.3,2024-07-21T23:07Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32092/-1
6,2024-07-23T03:21Z,-30.0,-99.0,45.0,442.0,S,True,2024-07-22T18:48:00-CME-001,2024-07-22T18:48Z,Measurement based on the approximate source location and best fit between SOHO LASCO C2/C3 and STEREO A COR2 imagery. The measured longitude may vary slightly as the source is far-sided and a precise source location is therefore unknown.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32113/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,13.8,2024-07-23T04:19Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32128/-1
7,2024-07-23T02:45Z,1.0,172.0,45.0,1299.0,O,True,2024-07-23T00:23:00-CME-001,2024-07-23T00:23Z,"Measurement of the inner bulk feature based on the best fit between SOHO LASCO C2/C3 and STEREO A COR2 imagery. As the source is far-sided and a precise source location is unknown, the measured parameters may vary slightly.. Multiple measurements produced speeds ranging from 1277 km/s to 1544 km/s and longitudes spanning 170 to 176 degrees.",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32124/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,18.7,2024-07-23T05:21Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32125/-1
8,2024-07-23T02:24Z,4.0,176.0,47.0,1544.0,O,True,2024-07-23T00:23:00-CME-001,2024-07-23T00:23Z,"Measurement of the possible shock feature based on the best fit between SOHO LASCO C2/C3 and STEREO A COR2 imagery. Multiple shock measurements produced speeds ranging from 1544 km/s to 1691 km/s. It is difficult to obtain a decent fit of the entire shock feature in both SOHO LASCO C2/C3 and STEREO A COR2 imagery. This measurement therefore focuses on the brighter, northern shock feature without compromising on the fit between coronagraphs.",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32124/-1,M2M_CATALOG,SH,0,SWPC_CAT,running difference,,,20.3,2024-07-23T03:56Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32127/-1
9,2024-07-23T12:40Z,-17.0,47.0,41.0,441.0,S,True,2024-07-23T04:24:00-CME-001,2024-07-23T04:24Z,"Measurement using source location and best fit between a multitude of frames in C2/C3 and four frames of STEREO A COR2 difference imagery. Leading edge is extremely faint in STEREO A COR2 difference imagery, but the feature is just visible enough to track for a few frames.",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32134/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,11.0,2024-07-23T13:49Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32135/-1
